,job=1,job=2,job=3,job=4
Chegada,20,20,220,240
Ingresso,20,20,220,240
ReqDisp,20,20,220,240
ReqMem,20,20,220,240
ReqProcess,20,20,220,240
Executando,20,85,220,305
FimProcess,85,150,305,350
LiberaProcess,85,150,305,350
LiberaMem,85,150,305,350
SaidaSis,85,150,305,350
